AT,V,AP,RH,PE
29.07,72.51,1009.24,58.38,449.37185495014177
32.38,67.17,1006.97,60.04,450.8610434851863
19.29,67.71,1007.94,63.71,460.8940293730327
16.45,41.48,1016.64,45.21,467.5773136407953
21.43,46.97,1013.94,61.25,469.8057234263984
28.19,71.97,1008.85,84.67,449.7971812036817
20.72,44.57,1008.96,72.57,460.63428088629763
31.95,70.8,1008.38,66.26,445.34462408580436
24.14,63.21,1012.28,89.08,454.8777665314399
19.67,60.77,1017.33,88.13,456.77193786838137
28.65,70.32,1008.46,58.13,446.27426373152815
16.52,44.88,1017.61,90.08,472.63723584412315
20.25,44.78,1007.93,40.16,475.52824966531057
11.05,40.71,1024.91,76.42,492.65544030027525
28.85,59.27,1011.69,51.8,452.7975182473792
25.31,60.75,1008.65,79.35,451.2728397200872
27.84,71.32,1007.72,79.25,442.6316588768609
28.85,57.19,1008.2,58.4,447.87070315022584
22.18,62.39,1007.84,85.74,464.3869360290702
21.88,59.39,1015.58,87.19,454.35717917577836
15.38,43.99,1022.42,83.41,475.4321303545569
19.08,58.59,1013.42,68.88,463.19709405320816
16.43,41.79,1005.47,76.89,467.90279941464996
26.07,71.37,1008.6,79.48,452.6761420977193
16.69,44.78,1010.41,58.18,468.3070193007985
13.26,40.83,1007.97,90.63,484.8291517643753
21.18,60.1,1011.02,78.19,464.0295233716391
26.23,59.87,1012.93,66.62,459.83029241126764
24.02,64.63,1020.49,55.17,462.3898646318826
22.32,70.47,1010.97,83.16,453.94192064897726
24.48,66.25,1009.42,88.17,454.57537575558166
10.17,40.1,1014.05,91.9,492.52724012415536
6.84,41.06,1021.04,89.59,500.1886570101867
3.74,35.19,1018.58,98.84,504.3437224905612
25.39,58.79,1015.85,62.59,454.09636748681424
24.54,44.89,1010.05,59.13,458.9292741422133
13.74,41.16,1010.74,87.69,486.2606859888002
26.23,70.72,1009.73,73.44,456.88573663268204
20.01,43.77,1012.13,65.53,467.317200440094
6.15,40.77,1022.42,88.57,494.730824946655
24.6,75.23,1012.04,76.77,445.8345406068064
18.01,44.2,1018.84,55.72,468.9749828785672
30.12,69.68,1012.89,60.64,448.0116288963594
19.85,56.53,1020.57,74.05,469.693870378639
8.6,40.77,1011.8,89.45,491.9567843222335
6.01,35.79,1011.05,91.33,492.32813035304906
16.68,53.16,1014.32,78.02,467.56622571142617
21.41,56.9,1007.03,79.41,454.3987703295658
5.79,39.61,1021.64,85.41,502.7646061928945
18.12,44.63,1001.26,89.72,467.83584930964935
20.94,44.89,1009.64,75.14,463.09008244068167
10.42,39.35,1015.21,89.75,491.1510726809571
14.36,41.26,1021.16,73.43,473.7271086464661
10.93,39.16,1016.54,90.56,492.0990371670871
30.12,73.18,1012.29,61.32,441.63938400269217
22.49,61.27,1019.6,57.1,460.54276786414636
7.46,41.26,1009.63,96.51,495.65239312069997
10.68,38.38,1020.79,72.33,490.1382489754644
7.64,41.17,1020.01,75.14,501.5441806407012
19.69,57.32,1012.41,75.51,460.3371731280629
28.24,71.58,1010.1,67.92,446.1956139137638
30.78,69.14,1007.27,62.77,444.051589524953
30.09,64.96,1001.29,56.04,443.5035758847845
28.69,67.25,1017.71,53.83,443.64893500528603
27.1,52.84,1006.28,53.85,450.91504321769247
33.62,77.17,1009.38,63.71,445.08671305481295
15.17,49.15,1021.91,91.73,474.0541397783426
15.92,41.2,1016.04,73.37,479.64620967212267
8.42,43.14,1011.62,80.32,494.58502858410765
20.08,63.09,1019.0,77.06,460.4305003504967
24.8,64.63,1020.69,55.74,460.1530777049648
4.43,38.91,1019.04,88.17,503.66539214118035
27.79,69.23,1012.86,45.71,448.40610461163664
11.72,39.18,1024.19,68.53,479.7423956259372
13.61,41.16,1020.49,75.09,474.7289672684129
27.45,66.25,1009.3,77.58,449.01684286218733
17.64,57.76,1016.28,85.04,467.717772711512
27.9,63.13,1011.8,70.04,450.67005041932737
5.65,40.72,1022.46,85.17,497.0453194456484
24.65,63.86,1018.37,56.15,455.1107938388528
15.14,39.72,1002.96,72.52,473.38365500250177
14.82,44.2,1018.98,72.8,477.1856319284712
35.2,73.56,1006.56,45.72,446.7685542794193
9.26,41.66,1016.87,73.32,495.5358843707127
6.93,41.14,1027.18,84.67,490.2761058313738
23.6,62.44,1011.52,78.12,451.3194934925242
14.94,42.77,1018.9,73.95,476.2948710702123
19.05,62.96,1020.48,83.04,467.4998272143364
17.9,67.71,1004.3,89.59,463.30454596450517
24.82,71.94,1010.5,64.67,452.499635611952
8.19,40.69,1019.86,85.23,490.5991319674155
28.14,43.21,1011.82,69.32,449.5709676360885
10.41,41.01,1020.12,94.27,485.2836801520471
9.78,43.8,1022.25,69.64,490.1408992707676
29.85,68.24,1007.01,30.99,445.73660241077386
26.11,70.36,1007.64,70.12,456.3402121919844
31.08,59.57,1010.76,60.49,454.7013911951087
25.72,72.39,1003.01,86.38,444.0111248857639
13.93,42.86,1032.37,71.11,479.711995760559
23.46,47.01,1014.41,69.19,470.63768716687036
12.36,37.73,1021.36,65.45,483.514013470592
24.91,69.89,1015.25,82.39,450.9521946610614
11.63,41.5,1013.6,87.11,489.9231259476628
23.67,72.24,1011.22,90.45,449.4523197030188
5.6,38.91,1019.31,85.33,505.1528187712106
27.88,63.87,1017.79,40.0,454.1867335421723
14.07,40.78,1024.67,72.66,469.0567289648555
8.64,34.69,1026.79,80.88,493.4553448473333
11.1,40.92,1021.98,94.14,474.8146084769725
10.42,43.79,1016.22,90.75,486.45675495807546
33.92,77.95,1010.15,58.89,444.9633708732223
22.45,57.76,1017.55,58.6,462.23868384915994
12.35,40.8,1027.35,72.69,488.7865023747752
11.54,45.51,1017.19,83.02,488.6188048058155
29.62,71.8,1011.05,63.13,452.00585501851197
6.82,41.03,1022.12,87.63,501.52325070660254
26.16,63.76,1010.03,68.77,450.67682327738464
29.35,54.2,1013.07,42.45,452.2233637460561
11.11,37.5,1013.68,73.67,486.1281005783386
19.22,65.06,1015.05,82.5,457.3912029350717
13.78,45.51,1015.56,69.92,480.91215932124
29.92,69.75,1009.12,67.15,452.3607542515722
9.37,42.32,1015.15,82.96,489.324611739679
11.62,41.54,1019.94,66.43,490.5753691157325
12.14,40.83,1010.56,78.31,488.0350958885968
27.31,68.14,1005.73,50.74,451.1087712036874
10.45,41.01,1020.57,93.84,477.5822853871248
6.76,40.62,1015.67,87.16,490.9942542842922
12.57,43.8,1023.2,56.85,478.31325053459017
13.84,44.9,1007.58,63.62,475.75567513127424
25.88,74.67,1016.66,81.09,447.68350716344537
27.01,43.77,1011.18,46.58,451.5321766110697
13.45,42.44,1012.79,83.12,486.7897181670214
19.32,52.9,1016.86,68.2,470.4572231633572
34.35,77.17,1009.26,59.33,449.9711668721514
15.91,71.14,1019.7,72.65,471.62836455670197
8.89,41.54,1019.27,82.87,496.88379496860784
25.97,70.32,1007.48,57.01,448.03926803873674
18.41,65.94,1010.23,84.71,465.16265719813754
6.87,39.85,1012.66,83.34,497.39569350983686
22.06,59.21,1012.84,87.06,454.98987773543473
21.37,65.94,1010.73,75.09,456.5785930230831
25.54,48.41,1010.51,55.34,452.263702673575
11.3,43.14,1019.56,99.83,481.1829160989996
15.62,38.28,1014.5,77.01,478.1381574568408
14.38,40.66,1016.34,92.37,476.9484500173074
23.47,69.71,1009.66,88.83,454.2698809510222
29.12,73.06,1009.98,80.21,446.5238399618713
6.13,39.48,1005.17,53.5,494.75666119529336
24.67,49.5,1013.62,59.42,466.58270078994934
23.25,56.9,1006.82,76.37,453.4957151605553
15.09,43.13,1015.71,54.36,479.5110354757092
22.98,73.17,1011.94,90.13,451.20653382824514
20.71,49.69,1010.26,69.97,469.61132530876364
20.46,59.21,1018.42,85.89,457.8643465724377
25.8,44.57,1008.0,52.56,463.3697589107702
28.61,69.84,1004.24,67.74,441.86698518870384
15.34,36.99,1007.87,94.59,475.3982915373332
32.06,69.88,1006.88,63.53,446.7286441766461
11.95,42.03,1017.58,90.89,477.07868044521257
10.6,41.17,1018.38,87.92,489.8780372198008
28.09,77.95,1017.07,70.98,448.2286153215197
14.47,42.99,1009.78,91.15,480.57167193496116
27.92,69.23,1013.21,44.43,447.75913629475195
9.16,42.44,1014.43,93.67,494.92191198175635
21.5,44.58,1016.87,57.58,473.0333734380804
14.42,41.16,1004.32,88.42,477.24996788061685
22.22,48.98,1015.87,53.18,459.3558619085511
17.27,40.55,1000.89,70.66,474.564843948744
9.14,37.36,1015.22,78.06,505.4110304265751
21.17,58.46,1017.71,83.98,458.09653117242124
15.54,39.31,1009.69,71.19,473.06640887705794
21.24,41.67,1012.6,49.27,472.6153056753234
18.03,58.86,1015.99,89.03,461.9859384346885
28.51,70.02,1010.58,54.68,454.91056158700883
12.42,43.8,1023.13,79.8,478.9591159541809
25.13,57.69,1007.43,78.43,450.86031726590033
19.66,59.87,1018.75,87.6,458.6179010142131
30.01,62.34,1005.28,62.34,446.8016128162138
21.99,42.48,1011.77,74.04,468.69189323477286
22.12,60.77,1018.01,83.87,456.0221080069677
22.49,58.82,1009.73,85.19,457.17783811160245
28.34,73.68,1015.05,76.73,443.9773305555351
13.46,39.85,1012.76,72.94,483.1157646499336
8.21,38.91,1015.82,88.99,493.4726720244901
23.15,58.79,1011.11,82.49,458.9462615138254
24.01,63.56,1014.19,64.31,456.8198822471634
29.71,71.85,1008.81,70.86,442.2226391718327
23.39,71.25,1005.22,93.7,449.2557793367842
14.02,41.78,1011.26,48.62,477.8813893057773
27.1,52.84,1006.28,53.85,451.1087252650072
26.24,70.36,1005.4,82.43,450.5641217850479
26.02,59.57,1011.16,76.93,459.24351514561295
10.9,39.64,1010.58,64.88,488.8375993677394
10.59,41.46,1016.87,85.7,492.59339219701303
10.81,45.0,1023.45,85.89,496.54763850974456
14.78,38.58,1017.02,82.4,472.547987334456
30.34,75.08,1005.32,52.97,451.18430130090036
11.47,40.27,1005.39,77.4,490.9505156971543
8.5,39.16,1014.1,86.64,497.8818565982071
27.83,69.04,1009.69,63.79,455.5675193459157
26.22,69.89,1015.46,76.63,445.80487427895775
8.67,36.66,1026.8,84.36,492.6385569204637
